Job Title,Company Name,Classification,Job Type,Location,Job Highlights,Job Description,Salary,Posting Date,Reference
Senior Performance Analyst,Ambition,Funds Management,Full time job,Sydney NSW,"['Oversee performance and risk reporting', 'Support client onboarding, system improvements, and process optimization', 'Apply strong knowledge of performance methodologies']","Overseeing performance, attribution, and risk reporting services delivered by the offshore hub in Chennai.",$120k - $150000.00 p.a.,5d ago,https://www.seek.com.au/job/80764165?type=standout&ref=search-standalone
Senior BA - Transactional Banking Remediation,Talenza,Business/Systems Analysts,Contract/Temp job,Sydney NSW,[],Talenza have been engaged by a global bank to source a Senior Business Analyst for a key transactional remediation program,$900 - $950 p.d. + plus super,5d ago,https://www.seek.com.au/job/80763938?type=standard&ref=search-standalone
Portfolio Management Office (PMO) Manager,Macquarie University,Management & Change Consulting,Contract/Temp job,North Ryde,"['Oversee the PMO function delivering transformation initiatives and projects', 'Macquarie University, Wallumattagal Campus, Dharug land, North Ryde', 'Attractive package negotiable, 2 year fixed term contract']","Provide governance, assurance and delivery for initiatives and projects related to workforce planning and business transformation.",Not Provided,5d ago,https://www.seek.com.au/job/80763799?type=standout&ref=search-standalone
Senior Developer (FME SME),Robert Walters,Developers/Programmers,Contract/Temp job,Sydney NSW,"['$900-$1,000 + Super', 'Contract til 30th May 2025 + Likely Extensions', 'Sydney,CBD/WFH']","Seeking a highly skilled and motivated Senior Developer, skilled in FME (Feature Manipulation Engine), to join a leading NSW Government Department.",$900 - $1k p.d. + Super + WFH Flex,6d ago,https://www.seek.com.au/job/80763623?type=standout&ref=search-standalone
Marketing Lead Communities,Uniting NSW & ACT,Management,Full time job,Sydney NSW,"['Perm full time role  Leadership opportunity - Sydney CBD  - Hybrid', 'Align with a Progressive and inclusive NFP. Collaborative and supportive team!', 'Base + NFP salary packaging options + super! Tax free benefit of $18,550 ++']",Full time permanent leadership role  - Marketing Lead - Sydney CBD Hybrid model,Great base + Super + NFP Sal Packaging Benefits!,6d ago,https://www.seek.com.au/job/80763529?type=standout&ref=search-standalone
Senior Solutions Engineer - Insurance,Nearmap Australia Pty Ltd,Business/Systems Analysts,Full time job,Barangaroo,[],"Nearmap is a leader in high-resolution aerial imagery, 3D, and AI-powered solutions. We’re looking for a talented Solutions Engineer to join our gr...",Not Provided,6d ago,https://www.seek.com.au/job/80774285?type=standard&ref=search-standalone
Threat intelligence Analyst,UpGuard,Help Desk & IT Support,Full time job,Sydney NSW,[],"As a Threat Analyst at UpGuard, you will be an integral member of our Threat Scanning Team, which specializes in identifying, analyzing, and mitiga...",Not Provided,6d ago,https://www.seek.com.au/job/80768417?type=standard&ref=search-standalone
Research Officer - Cancer Immunotherapy,The University of Sydney,Research & Fellowships,Contract/Temp job,Camperdown,"['Fixed term role until November 2027 based in Charles Perkins Centre', 'Dynamic opportunity to contribute to advancing research projects', 'Base Salary $99,455 + 17% superannuation']",The Faculty of Medicine and Health has a great opportunity for a Computational Biologist to join a clinical and laboratory research team.,Not Provided,6d ago,https://www.seek.com.au/job/80763036?type=standout&ref=search-standalone
Technical Underwriter - General Insurance,Succession Partners Pty Ltd,Underwriting,Full time job,Sydney NSW,"['Manage the suite of insurance products for the business', 'Act as the primary technical referral resource for product enquiries', 'Lead the design and development of new products and enhancements']","Develop the technical capabilities of a reputable insurance firm through market research, analysis and optimisation of the insurance products",Not Provided,6d ago,https://www.seek.com.au/job/80762899?type=standout&ref=search-standalone
Senior Data Domain Architect (2 year contract),ResMed,Architects,Full time job,Sydney NSW,[],The primary role of the Data Domain Architect is to design and manage data architecture within specific domains (primarily Supply Chain Planning an...,Not Provided,6d ago,https://www.seek.com.au/job/80773951?type=standard&ref=search-standalone
Workforce Planning Manager,AFL – Australian Football League,Consulting & Generalist HR,Full time job,Sydney NSW,"['Provide high level support with casual workforce management and planning', 'This role can be based in Sydney, Melbourne or Brisbane', 'Hybrid/flexible working options & genuine career development opportunities']",Unique opportunity for an experienced Workforce Planning Manager to use their understanding of the Deputy time and attendance platform with the AFL,Not Provided,6d ago,https://www.seek.com.au/job/80762468?type=standout&ref=search-standalone
