Job Title,Company Name,Classification,Job Type,Location,Job Highlights,Job Description,Salary,Posting Date,Reference
Observability Business Analyst,Talenza,Business/Systems Analysts,Contract/Temp job,Macquarie Park,"['6 Month Contract', '$950 per day including Super', 'Macquarie Park, hybrid']",Exciting Business Analyst opportunity to kick off in 2025!,$900 - $950 p.d. + Including Super,20m ago,https://www.seek.com.au/job/80881587?type=standout&ref=search-standalone
Human Resources Business Partner,MindChamps Early Learning & PreSchool,Consulting & Generalist HR,Full time job,Parramatta,"['Join a movement transforming education and inspiring young minds.', 'Competitive pay and 75% childcare gap fee discount.', 'Thrive in a culture of creativity and impactful learning.']","Join MindChamps to uplift global education, and grow your career with rewarding benefits, international opportunities, and meaningful impact.",Not Provided,38m ago,https://www.seek.com.au/job/80881017?type=standout&ref=search-standalone
"Office Manager (Data, Technology, Leader)",EXPHYS,Office Management,Full time job,Woolooware,"['Commence January 2025 | Lead the Head Office of a National Health Organisation', 'Great Location, New Office, Vibrant and Supportive Work Environment', ""Work with Australia's Largest Insurance Companies and Employers""]",Exciting office leadership role in a vibrant & positive environment. Tech savvy & strong with data. Ownership and responsibility. Insurance Health.,"$85,000 – $105,000 per year",41m ago,https://www.seek.com.au/job/80881004?type=standout&ref=search-standalone
Training and Consulting Services Administration Officer,Full Stop Australia,Administrative Assistants,Full time job,Balmain,[],"Do you thrive on a culture of diversity, inclusion, professionalism and high performance?",Salary plus opt in salary packaging.,42m ago,https://www.seek.com.au/job/80880997?type=standout&ref=search-standalone
Senior HIM and Clinical Coding Lead,Beamtree Pty Ltd,Management,Full time job,North Sydney,[],"The Senior HIM and Clinical Coding Lead will champion our coding products, support their seamless operations, and support successful product delivery.",Not Provided,43m ago,https://www.seek.com.au/job/80880978?type=standout&ref=search-standalone
Asset Planner,Ventia,Other,Full time job,Frenchs Forest,[],"Coordinate the CMMS activity to support Facility Lifecycle Works, Planned Preventative, Annual Works and reactive maintenance programs",Competitive salary + Employee benefits,55m ago,https://www.seek.com.au/job/80880653?type=standard&ref=search-standalone
Social Media Specialist,Ksubi,Other,Full time job,Rosebery,"['Support to drive Ksubi’s social media on a global scale', 'Fastest growing Australian fashion brand Internationally', 'Bring your passion to a highly progressive and motivated culture']",Join Ksubi's Marketing team and be part of one of Australia's greatest global fashion stories ++,Not Provided,1h ago,https://www.seek.com.au/job/80880017?type=standout&ref=search-standalone
2 x Graph DB engineers,Paxus,Engineering - Software,Contract/Temp job,Sydney NSW,"['6 Months Rolling contract', 'Exciting Opportunity and Hybrid role', 'Competitive Rate']","We are seeking a skilled Graph Database Engineer to design, implement, and optimize graph-based solutions.",$600 - $800 p.d. inc. super,1h ago,https://www.seek.com.au/job/80879911?type=standout&ref=search-standalone
Growth Marketer - Wealth and Investments,St Trinity Property Group,"Media Strategy, Planning & Buying",Full time job,Concord,[],"Position Overview:We are seeking a Growth Marketer with a deep understanding of wealth, investment strategies, and real estate portfolios. This rol...",Not Provided,1h ago,https://www.seek.com.au/job/80882111?type=standard&ref=search-standalone
Associate Data Scientist,AMP Services,Treasury,Full time job,Sydney NSW,"[""It's our people that make it a welcoming and enjoyable place to work"", 'Master complex datasets to unlock business insights', 'Create your own tomorrow through career-defining moments']","If you love Data Science, Statistics, and Computer Science, this is a fantastic opportunity to advance your career.",na,1h ago,https://www.seek.com.au/job/80879793?type=standout&ref=search-standalone
Associate Data Scientist,AMP Services,Treasury,Full time job,Sydney NSW,"[""It's our people that make it a welcoming and enjoyable place to work"", 'Master complex datasets to unlock business insights', 'Create your own tomorrow through career-defining moments']","If you love Data Science, Statistics, and Computer Science, this is a fantastic opportunity to advance your career.",na,1h ago,https://www.seek.com.au/job/80879781?type=standout&ref=search-standalone
Research Analyst and Writer,Creative Australia,Other,Contract/Temp job,Sydney NSW,[],We're looking for a Research Analyst and Writer to join our Creative Australia team!,Not Provided,1h ago,https://www.seek.com.au/job/80879724?type=standout&ref=search-standalone
Head of Quality & Research,Aged and Community Care Providers Association Ltd,Policy,Full time job,Sydney NSW,"['Five weeks of annual leave', 'Work from any state or territory, remote work arrangements available', 'Annual professional development allowance']",An exciting opportunity to join a national peak body for aged care industry and lead our research initiatives relating to the aged care sector.,Competitive Salary and many more benefits!,1h ago,https://www.seek.com.au/job/80879372?type=standout&ref=search-standalone
Portfolio Analyst,Centuria Capital Limited,Analysts,Full time job,Sydney NSW,[],The role is to provide financial and analytical support to the Asset Management and Fund teams.,Not Provided,1h ago,https://www.seek.com.au/job/80877966?type=standard&ref=search-standalone
Salesforce Functional Consultant,Morgan McKinley,Consultants,Contract/Temp job,Sydney NSW,"['6-12 month contract + potential extensions.', 'Opportunity to work on a large digital transformation program.', 'Hybrid work options']",Opportunity to work on a large Salesforce transformation program as a Functional Consultant with expertise in Marketing Cloud and Data Cloud.,+ Super,1h ago,https://www.seek.com.au/job/80879062?type=standout&ref=search-standalone
Equity Share Plan - Analyst - contract,Anton Murray Consulting,Account & Relationship Management,Contract/Temp job,Sydney NSW,[],Our client is a leading Share Plan business seeking an Analyst to join ther team for an initial 12m contract. Must have Salesforce system experience,Day rate of $90-100k base equivalent,2h ago,https://www.seek.com.au/job/80879001?type=standard&ref=search-standalone
Marketing Executive,Kelair Pumps,Marketing Communications,Full time job,Arndell Park,"['Drive impactful marketing campaigns across both offline and online channels', 'Collaborate with cross-functional teams and external partners to drive success', 'New position within our well established, growing organisation']",Exciting opportunity for a versatile marketer to take the next career step. Own impactful projects and help drive our growth!,Not Provided,2h ago,https://www.seek.com.au/job/80878984?type=standout&ref=search-standalone
Test Analyst,"Department of Agriculture, Fisheries & Forestry",Government - Federal,Full time job,Sydney NSW,"['Be responsible for designing and running tests on software usability', 'Conduct tests, analyse the results, report observations to the design team.', 'Attractive remuneration package.']",Multiple Test Analysts required,"APS 6 - $91,944 - $104,393",2h ago,https://www.seek.com.au/job/80878948?type=standout&ref=search-standalone
Customer Insights Analyst,icare,Market Research & Analysis,Full time job,Sydney NSW,"['Deep dive into customer experience analysis, trends and CSAT measurement', 'Permanent full-time role - 35 hours working week', 'Hybrid working environment, offering starting salary of $125,693 plus super']",Support the development of customer insights and measurement capability within the schemes to enable customer centric decision making.,"offering starting salary of $125,693 plus super",2h ago,https://www.seek.com.au/job/80878853?type=standout&ref=search-standalone
APS6 ICT Sourcing Specialist,Australian Criminal Intelligence Commission,Government - Federal,Full time job,Sydney NSW,"['Location: Canberra, Adelaide, Sydney, Melbourne', 'Position Type: Ongoing |Full-time/Part-time', 'Salary: $90,199 - $101,745']",The ACIC are seeking highly motivated individuals to join one of Australia's leading intelligence agencies.,Not Provided,2h ago,https://www.seek.com.au/job/80878836?type=standout&ref=search-standalone
ServiceNow Developer,Nine,Developers/Programmers,Full time job,North Sydney,"['Dynamic team delivering best-in-class support', 'Career Progression', 'Hybrid working model']","Join our Service Management Department, where you'll be part of a dynamic team delivering best-in-class support, continuous process improvement.",Not Provided,2h ago,https://www.seek.com.au/job/80878783?type=standout&ref=search-standalone
EL1 ICT Sourcing Senior Specialist,Australian Criminal Intelligence Commission,Government - Federal,Full time job,Sydney NSW,"['Location: Canberra, Adelaide, Sydney, Melbourne', 'Position Type: Ongoing | Full-time/Part-time', 'Salary: $113,355 - $136,660']",The ACIC are seeking highly motivated individuals to join one of Australia's leading intelligence agencies.,Not Provided,2h ago,https://www.seek.com.au/job/80878752?type=standout&ref=search-standalone
Digital Marketing Coordinator,EDU Corporate Services Pty Limited,Digital & Search Marketing,Full time job,Sydney NSW,"['Work life balance', 'Great culture', 'Learning and opportunity']",About EDU: EDU is an ASX-listed company dedicated to delivering quality education in the Health and Community Services sectors. We empower individu...,Not Provided,2h ago,https://www.seek.com.au/job/80878679?type=standout&ref=search-standalone
Cyber Analyst,Lumus Imaging,Security,Full time job,Sydney NSW,"['Respond to security threats and incidents, capturing  evidence.', 'Lead the investigation and mitigation of security incidents', 'Provide consultancy on security measures across diverse teams']",We're looking for a Cyber Security Analyst to join our team and protect the innovative systems that are shaping the future of healthcare,Not Provided,2h ago,https://www.seek.com.au/job/80878655?type=standout&ref=search-standalone
Safety Advisor - Sydney Metro West,Gamuda Australia Branch,"Health, Safety & Environment",Full time job,Rosehill,"['Directly influence and foster a culture of accountability and positivity on-site', 'Engage with and support a highly skilled tunneling team', 'Fast-paced, environment that offers rewarding and varied safety challenges']","GLC is seeking a dedicated Safety Advisor to foster and promote an accountable safety culture on-site, with a focus on supporting our tunneling team.",Not Provided,2h ago,https://www.seek.com.au/job/80878267?type=standout&ref=search-standalone
Credit Analyst,AMP Services,Mortgages,Full time job,Sydney NSW,"['Join a supportive and collaborative team', 'Self-employed credit assessment experience required, plus DLA', 'Permanent Full Time']",Great opportunity to join our AMP Bank team,competitive base plus 12% super,2h ago,https://www.seek.com.au/job/80878268?type=standout&ref=search-standalone
Manager,Nous Group,Management & Change Consulting,Full time job,Sydney NSW,[],"Are you ready to contribute to meaningful changes in the lives of citizens, customers and communities?","+ super, remote working allowance & collaborative",2h ago,https://www.seek.com.au/job/80878123?type=standard&ref=search-standalone
Marketing Intern,Antares Solutions,Marketing Assistants/Coordinators,Casual/Vacation job,Sydney NSW,[],We are looking for a motivated and eager-to-learn Marketing Intern to join our fast-paced IT consulting company's marketing team.,Not Provided,2h ago,https://www.seek.com.au/job/80877959?type=standard&ref=search-standalone
Finance Business Analyst,FinXL IT Professional Services,Business/Systems Analysts,Full time job,Sydney NSW,[],FinXL IT are seeking a Finance Business Analyst to join our team at a large financial services organisation. Please click in to read more!,Not Provided,2h ago,https://www.seek.com.au/job/80877922?type=standard&ref=search-standalone
Website Manager,AMP Services,Web Development & Production,Full time job,Sydney NSW,"['Experience with Adobe AEM (CMS) is essential', 'Supportive and collaborative team', 'Hybrid working environment']",Exciting opportunity for an experienced Website Manager to join our team,competitive salary + 12% super,2h ago,https://www.seek.com.au/job/80877906?type=standout&ref=search-standalone
Senior Product Manager,Cartology,Product Management & Development,Full time job,Surry Hills,"['Join Cartology at exciting times of major growth', 'Lead the development and execution of strategic product initiatives', 'Surry Hills based with WFH flexibility']",Join an iconic Australian Brand as Senior Product Manager,Not Provided,3h ago,https://www.seek.com.au/job/80877745?type=standout&ref=search-standalone
"Senior Account Executive, LE, GTS",Gartner Australasia pty Ltd,Administrative Assistants,Full time job,Sydney NSW,[],"At Gartner, Inc. (NYSE:IT), we guide the leaders who shape the world. Our mission relies on expert analysis and bold ideas to deliver actionable, o...",Not Provided,3h ago,https://www.seek.com.au/job/80882187?type=standard&ref=search-standalone
Sales Engineer / BDM - Instrumentation,ReillyScott,New Business Development,Full time job,Macquarie Park,[],Instrumentation sales role with national scope. Large / varied existing client base with ample cross + upselling opportunities. 9 day fortnight.,$110K-$130K Base (neg) + Super + $18K CA + Bonus,3h ago,https://www.seek.com.au/job/80877621?type=standard&ref=search-standalone
Technology – Consultant to Director,KPMG,Consultants,Full time job,Sydney NSW,"['Come as you are and shape a better future through work that matters', 'We acknowledge and celebrate the cultural diversity of our people', 'Join an organization where you will thrive']","Leverage your sector knowledge and establishment of internal relationships, to uncover potential clients who have a need for transformation",Our people build skills for the future,3h ago,https://www.seek.com.au/job/80877482?type=standout&ref=search-standalone
Head of Channel Strategy & Optimisation,Are Media,Digital & Search Marketing,Full time job,Sydney NSW,"[""Join Australia's leading omnichannel content company"", 'FREE digital access to all our titles', 'Birthday & Volunteering Leave']","As the Head of Channel Strategy & Optimisation, you’ll be at the heart of driving performance and revenue by creating impactful media strategies .",Not Provided,3h ago,https://www.seek.com.au/job/80877370?type=standout&ref=search-standalone
Sales Manager - NSW,TricorBraun,New Business Development,Full time job,Condell Park,"['High-performing international organisation!', 'Excellent remuneration!', 'Fantastic Sales Opportunity!']",We are an established award-winning company with a reputation for excellence and quality; seeking a Sales Manager to join our Commercial Sales Team.,Not Provided,3h ago,https://www.seek.com.au/job/80877369?type=standout&ref=search-standalone
Lead Solutions Architect,Holcim,Architects,Full time job,North Sydney,"[""Join the world's leading sustainable building materials company!"", 'Competitive remuneration package.', 'Based at Milton QLD.']",Join the world's leading sustainable building materials company!,Not Provided,3h ago,https://www.seek.com.au/job/80877322?type=standout&ref=search-standalone
D365 Functional Consultant F&O,FourQuarters Recruitment,Consultants,Full time job,Sydney NSW,[],Global ERP Transformation - D365 F&O - Supply Chain,Not Provided,3h ago,https://www.seek.com.au/job/80877292?type=standard&ref=search-standalone
Content Producer - SEO,Are Media,Journalism & Writing,Contract/Temp job,Sydney NSW,"[""Join Australia's leading omnichannel content company"", '12 Month Contract', 'Birthday & Volunteering Leave']",We’re looking for an avid online shopper for a 12 month contract who knows how to find the best bargains around to take the helm of our coupon codes.,Not Provided,3h ago,https://www.seek.com.au/job/80877288?type=standout&ref=search-standalone
Commercial Finance Analyst,dentsu,Analysis & Reporting,Full time job,Sydney NSW,[],"Opportunity to be part of delivering the strategic direction of dentsu & support the delivery of strategy, revenue and profit targets.","$100,000 – $110,000 per year",3h ago,https://www.seek.com.au/job/80877158?type=standout&ref=search-standalone
Business Intelligence Tech Lead,Osborne Richardson,Engineering - Software,Full time job,Sydney NSW,[],Seeking an experienced BI Tech Lead to lead BI activities for a large local council.,Not Provided,4h ago,https://www.seek.com.au/job/80876976?type=standard&ref=search-standalone
Project Research Assistant,Fuse Recruitment,Analysis & Reporting,Part time job,Sydney NSW,"['100% remote role with some interstate travel', '6 month (min.) fixed term contract', 'Help shape the future of energy workforce development']",We are seeking a passionate Research Intern to join a cutting-edge national workforce project in the energy sector!,AUD 80000 - 90000 per annum,4h ago,https://www.seek.com.au/job/80877046?type=standout&ref=search-standalone
Enterprise Advisory - Consultant and Senior Consultant,KPMG,Business Services & Corporate Advisory,Full time job,Sydney NSW,"['Come as you are and shape a better future through work that matters', 'We acknowledge and celebrate the cultural diversity of our people', 'Join an organization where you will thrive']","Deliver client engagements, supported by peers and junior consultants, under the oversight of our senior team",Our people build skills for the future,4h ago,https://www.seek.com.au/job/80877036?type=standout&ref=search-standalone
Senior Consultant - IT Audit,KPMG,Systems Accounting & IT Audit,Full time job,Sydney NSW,"['Come as you are and shape a better future through work that matters', 'We acknowledge and celebrate the cultural diversity of our people', 'Join an organisation where you will thrive']",Deliver a variety of Technology Risk assurance and advisory projects including internal audit and external audit.,Our people build skills for the future,4h ago,https://www.seek.com.au/job/80876940?type=standout&ref=search-standalone
Vendor Relationship Officer,"Department of Agriculture, Fisheries & Forestry",Client & Sales Administration,Full time job,Sydney NSW,"['• Salary and Benefits', '• Position Highlight', '• Opportunity for growth']",Exciting Opportunity exists for a self driven Vendor Relationship Officer,"APS 6 - $91,944 - $104,393",4h ago,https://www.seek.com.au/job/80876885?type=standout&ref=search-standalone
Business Intelligence Analyst,Indigenous Business Australia,Analysts,Full time job,Sydney NSW,"['Purposeful and meaningful outcomes', 'Hybrid and home based work arrangements available', 'Staff benefits of salary packaging & flexible work']",The role applies experience in data analysis for evaluating and informing our organisations performance.,"Salary $99,849 - $110,703 + 15.4% Superannuation",4h ago,https://www.seek.com.au/job/80876796?type=standout&ref=search-standalone
Senior Software Engineer,Ox Mountain Limited,Engineering - Software,Full time job,Sydney NSW,[],"Develop innovative technology for industrial challenges in a startup type environment within a well-established company, think “Skunkworks” unit.",Not Provided,4h ago,https://www.seek.com.au/job/80876765?type=standard&ref=search-standalone
Senior Business Analyst - BI Tech Lead,Ashdown People,Business/Systems Analysts,Full time job,Blacktown,[],This role is starting in February 2025. Lead the Technical Development Team in a NSW Government Agency and support the organisations strategic goal.,$800 p/d + super,4h ago,https://www.seek.com.au/job/80876746?type=standard&ref=search-standalone
Water Quality Lead,TRILITY Pty Ltd,Water & Waste Engineering,Full time job,Appin,"['Hybrid working – 2-3 days on-site in Macarthur and work from home', 'Attractive remuneration package + incentive scheme', 'Career development opportunities with a growing company']",Provide operations and technical support in wastewater to our teams in both AUS and NZ. Use your skills to help our community and the environment!,Not Provided,4h ago,https://www.seek.com.au/job/80876725?type=standout&ref=search-standalone
"Concession Store Manager, Myer x Bendon - Castle Hill",Bendon,Management - Store,Full time job,Castle Hill,"['We will immerse you in our culture of empowering women for life.', 'Birthday leave.', 'Fabulous discounts at MYER, our stores and online.']","At Bendon Lingerie, we are dedicated to transforming lives and empowering women.",Not Provided,4h ago,https://www.seek.com.au/job/80384654?type=standout&ref=search-standalone
D365 FinOps Consultant,Pathfinder Recruitment,Consultants,Full time job,Sydney NSW,[],Dynamics AX/D365 Consultant needed for consultancy in North Sydney. BA background ideal. Hybrid role. Great team!!,Not Provided,4h ago,https://www.seek.com.au/job/80876496?type=standard&ref=search-standalone
Test Analyst,Talenza,Testing & Quality Assurance,Contract/Temp job,Sydney NSW,[],We are looking for a Test Analyst with KQL/KSQL experience to join immediately. Remote/Hybrid working arrangements available.,$750 - $850 p.d. incl. Super,4h ago,https://www.seek.com.au/job/80876420?type=standout&ref=search-standalone
Team Leader - National Service Centre,KPMG,Supervisors/Team Leaders,Full time job,Parramatta,"['Come as you are and shape a better future through work that matters', 'We acknowledge and celebrate the cultural diversity of our people', 'Join an organization where you will thrive']","Play an influential role in building a supportive, people focused and collaborative team culture.",Our people build skills for the future,5h ago,https://www.seek.com.au/job/80876297?type=standout&ref=search-standalone
Marketing Executive,Sharp & Carter Sales and Marketing,Marketing Assistants/Coordinators,Full time job,Macquarie Park,"['Great Culture | Modern Office | Supportive Team and Leaders', 'Amazing mentor and lots of training and development opportunities', 'Full Time, Permanent | $80,000 Base + Super | Flexi WFH']",An exciting opportunity for a collaborative Marketing Executive to make this role their own and add real strategic value.,"$80,000 Base + Super",5h ago,https://www.seek.com.au/job/80876087?type=standout&ref=search-standalone
Technical Business Analyst - Data Privacy & Cloud Engineering,Technology People,Business/Systems Analysts,Contract/Temp job,Sydney NSW,[],"Technical Business Analyst to drive data privacy and cloud innovation. Lead impactful projects, collaborate with experts, and shape secure business.",Not Provided,5h ago,https://www.seek.com.au/job/80875801?type=standard&ref=search-standalone
Senior Business Analyst - Data Transformation,Bluefin Resources Pty Limited,Business/Systems Analysts,Full time job,Sydney NSW,[],We're seeking a dynamic senior data business analyst to join a large-scale data transformation program at a big 4 bank.,AUD 150000 - 165000 per annum,5h ago,https://www.seek.com.au/job/80875785?type=standard&ref=search-standalone
Business & Financial Analyst,Grosvenor Engineering Group Pty Ltd,Business/Systems Analysts,Full time job,Moorebank,[],"Due to a continued growth, we’re on the lookout for a top talent Business & Financial Analyst to work out of our Moorebank office",Not Provided,5h ago,https://www.seek.com.au/job/80875746?type=standout&ref=search-standalone
Security Analyst - Endpoint Security and SOC,Cognizant Technology Solutions Australia Pty Ltd,Security,Full time job,Sydney NSW,[],"Cognizant is seeking a skilled Endpoint Security and SOC Analyst with a robust understanding of security tools, systems, and protocols to ensure th...",Not Provided,7h ago,https://www.seek.com.au/job/80875701?type=standard&ref=search-standalone
Senior Databricks Engineer,Cognizant Technology Solutions Australia Pty Ltd,Consultants,Full time job,Sydney NSW,[],"At Cognizant, we're at the forefront of technological innovation, and we're on the hunt for top talent to join our growing databricks practice at a...",Not Provided,7h ago,https://www.seek.com.au/job/80875708?type=standard&ref=search-standalone
Lead HRBP,Atlassian,Consulting & Generalist HR,Full time job,Sydney NSW,[],"Lead, execute and measure people outcomes and impact on business
Driving end-to-end delivery across a suite of people programs, combining strategic...",Not Provided,9h ago,https://www.seek.com.au/job/80875721?type=standard&ref=search-standalone
Lead Researcher,Atlassian,Business Services & Corporate Advisory,Full time job,Sydney NSW,[],"Atlassians can choose where they work – whether in an office, from home, or a combination of the two. That way, Atlassians have more control over s...",Not Provided,10h ago,https://www.seek.com.au/job/80875667?type=standard&ref=search-standalone
Principal Data Scientist,Atlassian,"Mathematics, Statistics & Information Sciences",Full time job,Sydney NSW,[],You will be part of a world-class Data Science team that leverages data to drive insights about our products and customers. The Data Science team p...,Not Provided,10h ago,https://www.seek.com.au/job/80875691?type=standard&ref=search-standalone
Economist,The Balmoral Group Australia,Analysts,Full time job,Sydney NSW,[],Join Balmoral Group Australia & contribute to impactful projects that drive sustainable economic development & address critical issues in our society.,"$100,000 – $112,000 per year",12h ago,https://www.seek.com.au/job/80871557?type=standard&ref=search-standalone
Chapter Lead – Data Management Operations,ING,Business/Systems Analysts,Full time job,Sydney NSW,[],"Chapter Lead – Data Management Operations, is a newly created position within Chief data office team. You’ll be responsible for leading a practice ...",Not Provided,12h ago,https://www.seek.com.au/job/80873907?type=standard&ref=search-standalone
Food Programme Manager,TikTok,Management,Full time job,Sydney NSW,[],The Food and Beverage team promote best practices and support the business by elevating and creating unique employee and client food and beverage e...,Not Provided,13h ago,https://www.seek.com.au/job/80871616?type=standard&ref=search-standalone
Clinical Research Associate FSP,Novotech (Australia) Pty Limited,Clinical/Medical Research,Full time job,Sydney NSW,[],"We are a Circle Back Initiative Employer and commit to respond to every application. We look forward to contacting you regarding your application.
...",Not Provided,13h ago,https://www.seek.com.au/job/80871727?type=standard&ref=search-standalone
Registered Nurse,Calvary,Nursing - Aged Care,Full time job,Brighton-Le-Sands,[],As the Registered Nurse you are responsible for providing clinical leadership to staff and ensuring compliance with legislative requirements to ena...,Not Provided,13h ago,https://www.seek.com.au/job/80871610?type=standard&ref=search-standalone
Business Analyst- SaaS,Corptec Technology Partners,Business/Systems Analysts,Full time job,Sydney NSW,[],We are seeking an experienced Senior Business Analyst with expertise in Subscription Management Platforms or SaaS solutions to join our Sydney-base...,Not Provided,13h ago,https://www.seek.com.au/job/80871656?type=standard&ref=search-standalone
Technical Business AnalystWork From Anywhere,WSP Australia Pty Limited,Business/Systems Analysts,Full time job,Sydney NSW,[],"In this role, you will liaise with clients to gain a thorough understanding of the project requirements and the needs of their end users. Documenti...",Not Provided,15h ago,https://www.seek.com.au/job/80877718?type=standard&ref=search-standalone
Quality Assurance Manager,Cyient Australia Pty Ltd,Testing & Quality Assurance,Full time job,Sydney NSW,[],"Serves as the principal point of contact for managing the Quality Management System (QMS) and Environmental, Occupational Health & Safety (EOHS).","$73,000 – $100,000 per year",15h ago,https://www.seek.com.au/job/80869034?type=standout&ref=search-standalone
Business and Process Analyst | Treasury Transformation,Macquarie Group Limited,Programme & Project Management,Contract/Temp job,Sydney NSW,[],"In this role, you will have the opportunity to be part of a successful delivery of a Capital and Group Financial Planning and Analysis transformati...",Not Provided,16h ago,https://www.seek.com.au/job/80871698?type=standard&ref=search-standalone
Data Engineer,Macquarie Group Limited,Help Desk & IT Support,Full time job,Sydney NSW,[],"Technology - Data Analytics
We are committed to providing a working environment that embraces diversity, equity, and inclusion. We encourage people...",Not Provided,16h ago,https://www.seek.com.au/job/80871658?type=standard&ref=search-standalone
Work from Home - Online Data Analyst (English speakers),TELUS International AI Inc.,Help Desk & IT Support,Part time job,Sydney NSW,"['Flexible Schedule', 'Work from Home', 'Work Life Balance']","Why Join the TELUS Digital AI Community?

Earn additional income with flexible hours 
Be your own boss
Be part of an online community",Not Provided,17h ago,https://www.seek.com.au/job/80866683?type=standout&ref=search-standalone
Data Center Customer Operations II,EQUINIX AUSTRALIA PTY LIMITED,Electricians,Full time job,Sydney NSW,[],"Joining our operations team means that you will be at the forefront of all we do, maintaining critical facilities infrastructure as part of a close...",Not Provided,18h ago,https://www.seek.com.au/job/80869353?type=standard&ref=search-standalone
Business Development Manager,RELX,New Business Development,Full time job,Sydney NSW,"['Direct B2B sales experience in data and software, with a background in aviation', 'Over five years of consultative sales experience', 'Exceptional communication, negotiation, and forecasting abilities']","In this role, you will focus on building strong relationships and delivering tailored solutions that drive value through Cirium’s aviation analytics.",Not Provided,18h ago,https://www.seek.com.au/job/80865357?type=standout&ref=search-standalone
People Systems & Insights Analyst - Taronga Zoo,Taronga Conservation Society Australia,Business/Systems Analysts,Contract/Temp job,Sydney NSW,[],You will have a people-first focus and enjoy understanding how employment legislation and awards are translated into compliant systems.,Not Provided,19h ago,https://www.seek.com.au/job/80865944?type=standard&ref=search-standalone
Senior Business Analyst,CMC Markets Stockbroking Limited,Business/Systems Analysts,Full time job,Sydney NSW,"['Barangaroo CBD location, stunning ocean views', 'Active culture club, generous L&D program, leave benefits, $0 trades CMC Invest', 'Fast paced environment where people are encouraged to be their authentic selves']","In this role, you’ll be seeing projects through to the end and the pace at which we operate means you’ll be able to make a very quick impact.",Salary + Super + Annual Discretionary Bonus,19h ago,https://www.seek.com.au/job/80863741?type=standout&ref=search-standalone
Content Producer,CHOICE,Journalism & Writing,Full time job,Marrickville,[],CHOICE is looking for a Content Producer to produce unique and compelling insurance and utilities content that elevates the CHOICE brand and grows ...,Not Provided,20h ago,https://www.seek.com.au/job/80866181?type=standard&ref=search-standalone
Cyber Security Risk Analyst (GRC),"Talent – Specialists in tech, transformation & beyond",Security,Full time job,Parramatta,"['GRC Focused role', 'Large security uplift program', 'Flexible working arrangements / Parramatta location']","Work with a highly respected university providing expertise on ICT security matters, analysing issues and applying security frameworks and legislation",17%,20h ago,https://www.seek.com.au/job/80862949?type=standout&ref=search-standalone
AEM Full Stack Developer - Sydney,AYAN INFOTECH PTY LTD,Developers/Programmers,Contract/Temp job,Sydney NSW,[],Full-Stack Adobe Development along with Front-end template development. CMS development and template integration and HTML Email Development.,$600 - $680 p.d.,20h ago,https://www.seek.com.au/job/80862355?type=standard&ref=search-standalone
Registered Nurse,Calvary Administration Pty Limited,Nursing - Aged Care,Part time job,Brighton-Le-Sands,"['Located in Brighton-Le-Sand, NSW', 'Experience in Aged care would be an Advantage', 'Get ahead with salary packaging, benefits and professional development']",Join our team at Calvary as Registered Nurse!,Not Provided,20h ago,https://www.seek.com.au/job/80862048?type=standout&ref=search-standalone
SEO Consultant,G Squared Digital Marketing,Digital & Search Marketing,Full time job,Chippendale,"['Lead your own SEO strategies, working closely with the wider SEO team', 'High allocations to each client, giving you the time to make an impact', 'Annual growth bonus $$ for all staff - earn up to 10% extra on your salary']","We're looking for an SEO Manager to work on blue-chip accounts, growing their team of specialists and driving strong search results for our clients.","$90,000 – $110,000 per year plus bonus",20h ago,https://www.seek.com.au/job/80862034?type=standout&ref=search-standalone
Actuarial | Manager (Banking),PwC,Actuarial,Full time job,Sydney NSW,"['World-class development opportunities to accelerate your career', 'Strong mentors, meaningful work and plenty of networking opportunities', 'Work up to four weeks from anywhere in Australia and select global locations']",Help create impact and drive meaningful change in a career that offers supportive collaboration and flexible working opportunities.,Not Provided,21h ago,https://www.seek.com.au/job/80861783?type=standout&ref=search-standalone
Senior Full Stack .NET / C# Developer,DWS Limited,Developers/Programmers,Full time job,Sydney NSW,"[""Exciting projects with some of Australia's best Tier 1 enterprise businesses"", 'Career progression, paid training / certifications, work-life balance', 'Join DWS; a leading IT Consultancy, and part of HCL Technologies']",A great opportunity to showcase your C# / .NET Full Stack experience in an established and successful client facing consulting environment,up to $190K pkg (inc super),21h ago,https://www.seek.com.au/job/80861525?type=standout&ref=search-standalone
CRM Specialist,"Talent – Specialists in tech, transformation & beyond",Consultants,Full time job,Sydney NSW,"['Maximize the potential of HubSpot', 'Excellent mentorship', 'Fully remote position']",We are on the lookout for a hands-on CRM Specialist to join our clients team and help businesses maximize the potential of HubSpot,$80k - $90k p.a.,21h ago,https://www.seek.com.au/job/80861382?type=standout&ref=search-standalone
Development Manager,Stockland,Retail & Property Development,Full time job,Sydney NSW,"['Flexibility at the core of our culture. An opportunity to balance work and life.', 'A company that truly values diversity in all its forms', 'Permanent opportunity in our market leading Masterplanned Communities team']",We have an exciting opportunity for a Development Manager to join the Masterplanned Communities team in our Sydney office.,Not Provided,21h ago,https://www.seek.com.au/job/80861257?type=standout&ref=search-standalone
